county_FIPS,NAME,Percent_Uninsured,Year
0500000US34041,"Warren County, New Jersey",9.0,2010
0500000US35001,"Bernalillo County, New Mexico",17.0,2010
0500000US35005,"Chaves County, New Mexico",17.5,2010
0500000US35013,"Do?a Ana County, New Mexico",21.4,2010
0500000US35031,"McKinley County, New Mexico",38.7,2010
0500000US35043,"Sandoval County, New Mexico",14.1,2010
0500000US35045,"San Juan County, New Mexico",33.9,2010
0500000US35049,"Santa Fe County, New Mexico",17.7,2010
0500000US35061,"Valencia County, New Mexico",17.0,2010
0500000US36001,"Albany County, New York",8.4,2010
0500000US36005,"Bronx County, New York",16.1,2010
0500000US36007,"Broome County, New York",9.1,2010
0500000US36009,"Cattaraugus County, New York",12.8,2010
0500000US36011,"Cayuga County, New York",12.2,2010
0500000US36013,"Chautauqua County, New York",9.8,2010
0500000US36015,"Chemung County, New York",8.6,2010
0500000US36019,"Clinton County, New York",7.3,2010
0500000US36027,"Dutchess County, New York",9.1,2010
0500000US36029,"Erie County, New York",7.6,2010
0500000US36045,"Jefferson County, New York",11.1,2010
0500000US36047,"Kings County, New York",14.5,2010
0500000US36051,"Livingston County, New York",6.7,2010
0500000US36053,"Madison County, New York",9.3,2010
0500000US36055,"Monroe County, New York",7.6,2010
0500000US36059,"Nassau County, New York",10.2,2010
0500000US36061,"New York County, New York",10.9,2010
0500000US36063,"Niagara County, New York",7.9,2010
0500000US36065,"Oneida County, New York",6.4,2010
0500000US36067,"Onondaga County, New York",9.7,2010
0500000US36069,"Ontario County, New York",10.0,2010
0500000US36071,"Orange County, New York",10.3,2010
0500000US36075,"Oswego County, New York",9.1,2010
0500000US36079,"Putnam County, New York",10.8,2010
0500000US36081,"Queens County, New York",18.6,2010
0500000US36083,"Rensselaer County, New York",8.2,2010
0500000US36085,"Richmond County, New York",7.1,2010
0500000US36087,"Rockland County, New York",10.8,2010
0500000US36089,"St. Lawrence County, New York",14.8,2010
0500000US36091,"Saratoga County, New York",7.8,2010
0500000US36093,"Schenectady County, New York",10.3,2010
0500000US36101,"Steuben County, New York",12.3,2010
0500000US36103,"Suffolk County, New York",10.4,2010
0500000US36105,"Sullivan County, New York",16.6,2010
0500000US36109,"Tompkins County, New York",6.6,2010
0500000US36111,"Ulster County, New York",10.7,2010
0500000US36113,"Warren County, New York",9.6,2010
0500000US36117,"Wayne County, New York",9.6,2010
0500000US36119,"Westchester County, New York",11.5,2010
0500000US37001,"Alamance County, North Carolina",18.4,2010
0500000US37019,"Brunswick County, North Carolina",14.6,2010
0500000US37021,"Buncombe County, North Carolina",17.8,2010
0500000US37023,"Burke County, North Carolina",14.5,2010
0500000US37025,"Cabarrus County, North Carolina",17.0,2010
0500000US37027,"Caldwell County, North Carolina",17.0,2010
0500000US37031,"Carteret County, North Carolina",16.7,2010
0500000US37035,"Catawba County, North Carolina",16.8,2010
0500000US37045,"Cleveland County, North Carolina",15.0,2010
0500000US37049,"Craven County, North Carolina",14.1,2010
0500000US37051,"Cumberland County, North Carolina",15.3,2010
0500000US37057,"Davidson County, North Carolina",17.1,2010
0500000US37063,"Durham County, North Carolina",17.8,2010
0500000US37067,"Forsyth County, North Carolina",16.4,2010
0500000US37071,"Gaston County, North Carolina",19.2,2010
0500000US37081,"Guilford County, North Carolina",17.1,2010
0500000US37085,"Harnett County, North Carolina",16.2,2010
0500000US37089,"Henderson County, North Carolina",16.5,2010
0500000US37097,"Iredell County, North Carolina",15.5,2010
0500000US37101,"Johnston County, North Carolina",16.8,2010
0500000US37109,"Lincoln County, North Carolina",17.8,2010
0500000US37119,"Mecklenburg County, North Carolina",17.1,2010
0500000US37125,"Moore County, North Carolina",13.5,2010
0500000US37127,"Nash County, North Carolina",15.1,2010
0500000US37129,"New Hanover County, North Carolina",15.5,2010
0500000US37133,"Onslow County, North Carolina",14.5,2010
0500000US37135,"Orange County, North Carolina",14.8,2010
0500000US37147,"Pitt County, North Carolina",14.9,2010
0500000US37151,"Randolph County, North Carolina",14.9,2010
0500000US37155,"Robeson County, North Carolina",25.5,2010
0500000US37157,"Rockingham County, North Carolina",15.5,2010
0500000US37159,"Rowan County, North Carolina",21.1,2010
0500000US37161,"Rutherford County, North Carolina",18.2,2010
0500000US37171,"Surry County, North Carolina",18.7,2010
0500000US37179,"Union County, North Carolina",14.9,2010
0500000US37183,"Wake County, North Carolina",14.2,2010
0500000US37191,"Wayne County, North Carolina",18.1,2010
0500000US37193,"Wilkes County, North Carolina",18.7,2010
0500000US37195,"Wilson County, North Carolina",22.6,2010
0500000US38015,"Burleigh County, North Dakota",7.0,2010
0500000US38017,"Cass County, North Dakota",9.1,2010
0500000US38035,"Grand Forks County, North Dakota",9.0,2010
0500000US39003,"Allen County, Ohio",12.1,2010
0500000US39007,"Ashtabula County, Ohio",13.1,2010
0500000US39013,"Belmont County, Ohio",10.7,2010
0500000US39017,"Butler County, Ohio",10.2,2010
0500000US39023,"Clark County, Ohio",14.7,2010
0500000US39025,"Clermont County, Ohio",11.0,2010
0500000US39029,"Columbiana County, Ohio",11.8,2010
0500000US39035,"Cuyahoga County, Ohio",12.5,2010
